Year ,Fitzwilliam_Square_Dublin,Phoenix_Park,Botanic_Gardens
1,22.6,24.6,22.8
2,21.8,24,22.2
3,23.2,24.1,25.1
4,17.4,19.8,18.6
5,19.8,20.6,17.9
6,20.1,22.3,19.7
7,18.7,19.7,17.3
8,20.5,22,21
9,19.9,20.5,19.7
10,16.9,17.3,17
11,17.4,20,18.1
12,24.3,26.6,23.4
13,23.7,26,22.7
14,23,26.6,24.4
15,22.4,27.4,25.3
16,30.7,33.5,29.4
17,22,23.9,21
18,22.2,24.4,21.9
19,23.2,24.9,24.9
20,20.9,25.7,21.4
21,23.3,26.7,25.2
22,21.4,24.1,20.8
23,18.8,20.8,19.3
24,22.5,24,22.7
25,23.1,24.3,23
26,19.2,18.3,17.8
27,18.1,20.9,17.9
28,16.7,18.1,16.7
29,19.7,21.1,16.7
30,21.2,22.3,20.6
31,16.2,16.9,16.7
